ActivityType;StartTime;EndTime;AltitudeAvg;AltitudeMin;AltitudeMax;Ascent;Descent;Distance;Duration;HrAvg;HrMin;HrMax;Calories;SpeedAvg;SpeedMax;CadenceAvg;CadenceMax
Other;2020-09-14 13:36:33+00:00;2020-09-14 15:25:18+00:00;113.96159729905052;86.80000305175781;141.39999389648438;714.4001617431641;717.2001647949219;31128.78;6525.0;155.9238066095471;83;None;1271;17.174499310344828;None;None;None
Biking;2020-09-15 14:49:17+00:00;2020-09-15 16:35:07+00:00;105.63441327368925;80.4000015258789;153.60000610351562;564.4001007080078;561.8001022338867;39118.25;6350.0;142.17395407360806;85;None;1065;22.17727559055118;None;None;None
Running;2020-09-16 14:00:18+00:00;2020-09-16 15:16:14+00:00;125.01059043254175;114.4000015258789;139.60000610351562;209.59996795654297;201.59996795654297;12655.84;4556.0;147.60492482022227;66;None;858;10.00022475856014;None;None;None
Running;2020-09-18 15:40:27+00:00;2020-09-18 17:13:55+00:00;128.44995554063584;114.5999984741211;144.0;264.20008850097656;268.20008850097656;17068.98;5608.0;157.27502222222222;96;None;1069;10.95726248216833;None;None;None
Other;2020-09-21 15:44:06+00:00;2020-09-21 16:43:05+00:00;145.74110017892167;131.39999389648438;160.1999969482422;397.19989013671875;394.99989318847656;16847.53;3539.0;151.88349788434414;82;None;754;17.137922576999152;None;None;None
Running;2020-09-22 15:15:30+00:00;2020-09-22 16:22:36+00:00;130.64460440777395;124.0;149.8000030517578;239.40009307861328;236.40009307861328;9794.37;4026.0;149.08360208385017;82;None;776;8.758005961251865;None;None;None
Other;None;None;None;None;None;0;0;0.0;None;None;None;None;270;None;None;None;None
Biking;2020-09-23 13:50:41+00:00;2020-09-23 15:13:24+00:00;117.19058533113886;88.5999984741211;141.60000610351562;618.599983215332;619.9999771118164;35703.6;4963.0;156.94789780728223;97;None;1010;25.898238968365906;None;None;None
Running;2020-09-24 16:47:23+00:00;2020-09-24 18:14:59+00:00;145.24792267986277;132.39999389648438;158.60000610351562;225.99993896484375;222.5999298095703;14210.39;5256.0;145.56258309591644;88;None;967;9.733143835616438;None;None;None
Other;2020-09-25 17:20:06+00:00;2020-09-25 18:36:04+00:00;127.50042425692503;120.19999694824219;135.8000030517578;25.4000244140625;25.20001983642578;5893.39;4558.0;88.87553041018387;55;None;422;4.654717858709962;None;None;None
Biking;2020-09-26 14:24:02+00:00;2020-09-26 16:33:52+00:00;104.62189459485926;77.80000305175781;147.1999969482422;847.7998733520508;859.7998733520508;56408.23;7790.0;None;None;None;2294;26.067988189987165;None;None;None
Other;2020-09-27 14:08:33+00:00;2020-09-27 15:49:38+00:00;119.74479015209057;97.4000015258789;142.0;600.400260925293;602.400260925293;29041.29;6065.0;151.3117695473251;77;None;1129;17.23802868920033;None;None;None
Running;2020-09-29 16:44:13+00:00;2020-09-29 17:43:54+00:00;142.95403866993684;131.60000610351562;158.1999969482422;262.00010681152344;262.80010986328125;8514.62;3581.0;146.07756696428572;86;None;673;8.559796704831053;None;None;None
Running;2020-10-01 16:18:08+00:00;2020-10-01 17:04:38+00:00;130.15232314954406;123.0;138.1999969482422;160.79991912841797;159.19991302490234;7413.33;2790.0;147.7373123659757;86;None;520;9.565587096774193;None;None;None
Running;2020-10-05 14:14:32+00:00;2020-10-05 15:30:02+00:00;119.26511215397926;106.0;133.0;209.00019073486328;206.60018920898438;15666.77;4530.0;169.115486141663;82;None;1122;12.450413245033113;None;None;None
Other;2020-10-06 15:35:15+00:00;2020-10-06 16:52:07+00:00;132.37247066722196;121.80000305175781;143.0;33.60003662109375;33.60003662109375;7014.63;4612.0;101.01529411764706;82;None;463;5.47542671292281;None;None;None
Running;2020-10-08 16:03:07+00:00;2020-10-08 16:58:33+00:00;133.98980186338832;123.5999984741211;144.60000610351562;151.39998626708984;151.39998626708984;9623.78;3326.0;143.6013797240552;82;None;615;10.416598917618762;None;None;None
Running;2020-10-10 10:01:56+00:00;2020-10-10 11:40:09+00:00;95.3437700814951;82.19999694824219;120.80000305175781;319.5998992919922;328.39990234375;21277.92;5893.0;179.6028740490279;123;None;1703;12.998559647038858;None;None;None
Running;2020-10-13 13:46:20+00:00;2020-10-13 15:03:49+00:00;132.5140966507832;121.80000305175781;146.1999969482422;48.400001525878906;48.19999694824219;8754.27;4649.0;117.38656387665198;69;None;588;6.77895719509572;None;None;None
Running;2020-10-28 13:05:33+00:00;2020-10-28 14:02:58+00:00;126.65991290654183;115.0;147.1999969482422;208.3999481201172;207.5999526977539;9013.91;3445.0;None;None;None;715;9.419470537010161;None;None;None
Running;2020-10-29 15:23:24+00:00;2020-10-29 15:58:40+00:00;127.46077924455915;119.19999694824219;136.0;26.20001220703125;26.20001220703125;5676.93;2116.0;141.63116883116882;75;None;424;9.658293005671078;None;None;None
Other;2020-10-30 19:17:43+00:00;2020-10-30 19:45:54+00:00;126.1466661939434;121.80000305175781;131.1999969482422;10.599983215332031;10.999984741210938;2627.82;1691.0;107.52549019607844;80;None;184;5.594412773506801;None;None;None
